city,state,January,February,March,April,May,June,July,August,September,October,November,December,latitude,longitude,name,desc,color,source,precision
Portland,OR,3,3,3,3,5,6,13,11,10,5,3,2,45.5117912,-122.6756287,"Portland, OR","Portland, OR",,Bing Maps,city/town
Providence,RI,10,8,8,7,6,7,7,8,9,11,8,8,41.8238716,-71.4119873,"Providence, RI","Providence, RI",,Bing Maps,city/town
Raleigh,NC,9,9,9,10,8,8,7,7,10,13,11,10,35.785511,-78.6426697,"Raleigh, NC","Raleigh, NC",,Bing Maps,city/town
Richmond,VA,8,8,8,8,7,7,7,7,9,12,9,9,37.540699,-77.4336472,"Richmond, VA","Richmond, VA",,Bing Maps,city/town
Rochester,NY,2,2,5,6,6,7,8,8,7,6,2,2,43.1557999,-77.6163177,"Rochester, NY","Rochester, NY",,Bing Maps,city/town
Sacramento,CA,7,8,10,12,17,22,27,26,24,19,10,8,38.5793304,-121.4908981,"Sacramento, CA","Sacramento, CA",,Bing Maps,city/town
Salt Lake City,UT,6,5,7,7,9,14,17,16,16,14,8,6,40.7603111,-111.8882217,"Salt Lake City, UT","Salt Lake City, UT",,Bing Maps,city/town
San Antonio,TX,9,8,9,7,6,7,9,10,9,11,10,10,29.4245796,-98.4946136,"San Antonio, TX","San Antonio, TX",,Bing Maps,city/town
San Diego,CA,12,10,11,10,8,9,13,15,15,14,15,14,32.7156792,-117.1617126,"San Diego, CA","San Diego, CA",,Bing Maps,city/town
San Francisco,CA,9,8,10,11,14,16,21,19,18,16,11,9,37.7771187,-122.4196396,"San Francisco, CA","San Francisco, CA",,Bing Maps,city/town
Seattle,WA,3,3,3,3,4,5,10,9,8,4,2,2,47.603569,-122.3294525,"Seattle, WA","Seattle, WA",,Bing Maps,city/town
St. Louis,MO,7,7,6,7,7,7,9,10,11,12,9,7,38.6277504,-90.1995621,"St. Louis, MO","St Louis, MO",,Bing Maps,city/town
Tampa,FL,10,9,11,11,11,6,3,3,5,11,12,10,27.9465294,-82.4592667,"Tampa, FL","Tampa, FL",,Bing Maps,city/town
Virginia Beach,VA,9,8,9,9,8,7,7,8,9,12,10,9,36.7552795,-76.0596237,"Virginia Beach, VA","Virginia Beach, VA",,Bing Maps,city/town
"Washington, DC",DC,7,7,7,7,7,7,7,9,10,11,8,8,38.906189,-77.0172653,"Washington, DC, DC",District of Columbia,,Bing Maps,state/province
